country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp
PAK,1996,2.81057000160217,456.996961832943,,60.466,
PAK,1997,3.02230000495911,438.030942680153,,60.623,0.15565
PAK,1998,,424.453697798497,,61.134,0.10919
PAK,1999,2.61147999763489,418.249257055367,,61.54,0.1159
PAK,2000,1.83782005310059,642.338346499898,2.48079324,61.903,0.09536
PAK,2001,,609.939506905073,2.33959723,62.241,0.12408
PAK,2002,,599.937345723927,2.42219901,62.556,0.16228
PAK,2003,,672.44178669894,2.10399199,62.834,
PAK,2004,1.44337999820709,771.902247348954,2.03666282,63.097,
PAK,2005,1.67058002948761,827.619861189926,2.37323904,62.416,0.32946
PAK,2006,1.98055994510651,900.873564984808,2.73132491,63.624,
PAK,2007,2.23465991020203,998.090114197524,2.62370729,63.807,0.52343
PAK,2008,2.27265000343323,1067.04324565284,2.56806731,64.002,
PAK,2009,2.17916989326477,963.788066395225,2.49995875,64.206,0.40218
PAK,2010,2.05268001556396,987.304571124485,2.42967653,64.378,
PAK,2011,2.00100994110107,1131.73513834324,2.23121333,64.659,0.30491
PAK,2012,1.97880005836487,1204.36475491585,2.22185278,64.883,
PAK,2013,2.23698997497559,1225.4340119198,2.4164784,65.129,0.26179
PAK,2014,2.2043399810791,1266.61340849959,2.48899078,65.374,
PAK,2015,2.38609004020691,1380.47020838317,2.49493265,65.641,0.22193
PAK,2016,2.66805005073547,1424.69161195897,2.57026362,65.943,
PAK,2017,2.57617998123169,1519.23459514248,2.7863009,66.223,0.21214
PAK,2018,2.33216949688293,1569.33814626355,2.82844949,66.481,
PAK,2019,2.21492004394531,1390.41690981745,2.84736943,66.729,0.17475
PAK,2020,2.05718240718423,1278.39735206896,2.95273018,65.701,
PAK,2021,1.68746129213991,1455.31922370186,2.99015832,65.773,0.16431
PAK,2022,1.97300945756988,1538.3228133171,2.90354776,67.417,
PAK,2023,1.94658005237579,1360.32417758419,2.51988316,67.649,0.16399
PAK,2024,,1478.77277977996,,67.799,
PER,1995,,2189.53431515311,,67.22,
PER,1996,3.11879992485046,2226.91682429265,,67.85,
PER,1997,,2300.67200774461,,68.324,0.0836
PER,1998,3.27817988395691,2156.39377651613,,68.724,0.10072
PER,1999,3.44133996963501,1916.53397367908,,69.302,0.09849
PER,2000,3.22802996635437,1945.41338451698,4.41482639,69.821,0.11266
PER,2001,3.03712010383606,1929.57273038846,4.72161007,70.315,0.11096
PER,2002,2.82056999206543,2007.37019626753,4.93902588,70.815,0.10614
PER,2003,2.93779993057251,2129.44114197634,4.58703804,71.278,0.10813
PER,2004,2.95787000656128,2397.25147277714,4.42972279,71.447,0.15578
PER,2005,2.83903002738953,2706.66947297608,4.66598511,71.988,
PER,2006,2.65281009674072,3129.55996496982,4.409585,72.337,
PER,2007,2.62940001487732,3581.0893081917,4.42611313,72.746,
